pchembl_value,canonical_smiles
4.8,c1ccc(-c2cccc(N3CCC4(CCNCC4)CC3)c2)cc1
5.2,COc1ccc(C2=NCC(CSc3nccc(O)n3)S2)cc1
4.8,C=C(C)[C@H]1CC=C(C)/C(=N/NC(=O)CNc2ccccc2OC)C1
4.7,NC1CCN(c2cccc(Cl)n2)CC1
4.9,O=C(c1cccc(F)c1)N1CCC2(CC1)CN(c1cccc(-c3ccccc3)c1)C2
4.6,CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)[O-])n2Cc1ccc(Cl)cc1.[Na+]
4.95,COc1ccc(NC(=O)OC(C)C)cc1
5.5,CN1CCN(c2ccc3ccccc3n2)CC1
5.5,COCCn1c(=O)c(-c2cccs2)nc2cncnc21
4.6,CS(=O)(=O)Nc1cccc(-c2cncnc2NCc2ccccc2)c1
5.1,CNc1ncnc2ccc(-c3ccc4c(c3)OCO4)cc12
4.6,COC(=O)[C@@]1(Cc2ccccc2)[C@H]2c3cc(C(=O)N4CCCC4)n(Cc4ccc(O)c(OC)c4)c3C[C@H]2CN1C(=O)c1ccccc1
6.0,COc1cccc(-c2ccc3ncnc(N4CCOCC4)c3c2)c1
5.8,CN1C(=O)C(=Cc2ccc(N3CCCCCC3)o2)C(=O)N(C)C1=S
5.3,O[C@@H](COc1ccc(Cl)cc1Cl)CN1CCCC1
4.4,Cc1nnc(NC(=O)c2cccc(NC(=O)C(C)C)c2)s1
5.3,Cc1ccc(-c2nn(CC(C)(C)C)c3ncnc(N)c23)cc1
4.85,Cn1c(OCc2ccc3c(c2)OCO3)nc2c1c(=O)n(Cc1ccc(Cl)c(Cl)c1)c(=O)n2C
4.6,O=C(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)N1CCC[C@@]2(CCN(c3ccccn3)C2)C1
4.6,CN1CCc2cc3c(cc2[C@@H]1[C@@H]1C(=O)Oc2c1ccc1c2OCO1)OCO3
5.5,COc1ncc2nc(CCc3ccccc3)c(=O)n(C3CC3)c2n1
7.0,N#Cc1cccc(-c2ccc3ncnc(NCc4ccccc4)c3c2)c1
5.3,COc1cc(-c2ccc(=O)[nH]n2)ccc1OC(F)F
4.5,CC1(C)N(O)C(c2ccc(C(=O)O)cc2)=[N+]([O-])C1(C)C
4.95,O=C(Cc1ccc2c(c1)CCCC2)Nc1ccccc1Br
5.9,c1cncc(-c2ccc3ncnc(N4CCNCC4)c3c2)c1
5.8,N#C/C(=C\N1CCNC1=S)C(=O)c1ccc2ccccc2c1
5.1,CC(C)Oc1cccc(-n2c(CCc3c[nH]c4ccc(Br)cc34)nc3ccccc3c2=O)c1
5.0,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3[C@@H]2C1
4.9,CCOC(=O)c1oc2ccccc2c1NC(=O)c1ccc(S(=O)(=O)N(C)C)cc1
5.8,Oc1ccc(-c2[nH]ncc2-c2ccc(Cl)cc2)c(O)c1
6.8,Clc1ccccc1-c1ccc2ncnc(NCc3cccnc3)c2c1
4.85,COc1ccc(NC(=O)N(C2CCCCC2)C(C)c2cccnc2)c(OC)c1
4.7,C[C@@H]([C@H](O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1
4.7,COc1cc(=O)n(C)c2c(OC[C@@H](O)C(C)(C)O)cccc12
4.7,CCNc1ncc2nc(-c3ccc(F)cc3)c(=O)n(Cc3ccc(F)cc3)c2n1
6.2,COc1ccc(C(S)=Nc2ccccc2)cc1
6.0,CCOc1ccc(-c2nn(-c3ccccc3)cc2/C=C(\C#N)S(=O)(=O)c2ccccc2)cc1C
5.6,CCOC(=O)c1cnc(-c2ccccc2)nc1Oc1cccc(Cl)c1
6.2,COc1ccc(CNc2nc(-c3ccoc3)nc3ccccc23)c(OC)c1
5.7,c1nc(N2CCNCC2)c2cc(-c3ccc4c(c3)OCO4)ccc2n1
5.1,O=c1c(-c2nnc(SCc3ccc(Cl)cc3Cl)o2)cccn1Cc1ccccc1
5.5,NC(=O)/N=C(\N)NC(=O)c1ccccc1
4.4,CCCCOc1ccccc1N
5.55,O=C1NCCc2c1[nH]c1ccccc21
6.3,COc1ccc(-c2csc3c2[N+]2=CCC=C2C3[O-])cc1
5.8,CCCC/C=C/C(NC(=O)c1cccs1)c1ccccc1
5.1,Cc1cc(C(=O)CSc2nnc(N)s2)c(C)n1CCc1ccc(F)cc1
5.1,CC(C)c1cc(CN(C)C)c(O)c(C(C)(C)C)c1
4.7,CN(C)c1ncc2nc(-c3ccccc3)c(=O)n(CCc3ccccc3)c2n1
4.6,COC(=O)[C@@]1(Cc2ccccc2)[C@H]2c3cc(C(=O)N4CCCC4)n(C)c3C[C@H]2CN1C(=O)c1ccccc1
5.3,O=C(Nc1nc(-c2ccccc2)c(-c2ccccc2)o1)c1ccc(F)cc1
5.6,Clc1cccc(Oc2cnc3ccccc3n2)c1
5.0,O=C(Nc1cccc(F)c1)N1CCC2(CC1)CCN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)CC2
4.8,Nc1nc(Cl)cc(N2CCOCC2)n1
4.85,Cc1nnc(SCc2ccc(F)cc2Cl)s1
4.9,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)[C@H]1c1cccc([N+](=O)[O-])c1
5.8,COC(=O)c1c(NC(C)=O)sc(Cc2ccccc2)c1C
6.3,COc1c(O)ccc2c1CN1CCc3cc4c(cc3[C@@H]1C2)OCO4
