pchembl_value,canonical_smiles
4.8,Cc1cccc(C)c1NC(=O)C[N+](C)(C)C
5.5,O=[N+]([O-])c1ccc2c(c1)N=C1O[C@H](c3c[nH]c4ccc(COc5ccccc5)cc34)C(O)=C1N2
6.0,Cc1noc(C)c1-c1nccc(N(C)Cc2ccco2)n1
6.0,Cc1cc(C(=O)CSC(=S)SC(C)(C)C)ccc1Cl
5.5,COC(=O)NC/C=C\c1nc(CC/C=C\C(=O)O[C@H]2C[C@H]3CC(=O)O[C@@H](/C=C\CC(C)C)C[C@@H]4CC[C@H](C)[C@H](C[C@@H](OC)C[C@H](C2)O3)O4)co1
4.4,COCCn1c(=O)c(C)nc2cnc(Oc3ccccc3)nc21
4.4,Cc1noc(C)c1C(=O)N1CCC[C@@]2(CCN(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)C2)C1
4.4,COC(=O)[C@@]1(Cc2ccc(F)cc2)[C@H]2c3cc(C(=O)N(C)C)n(CCN4CCOCC4)c3C[C@H]2CN1C(=O)c1ccccc1
4.6,CN(C)CC/C=C1\c2ccccc2Sc2cc(Cl)ccc21
5.4,Cc1ccc(N[C@H](c2ccccc2)c2ccc3cccnc3c2O)cc1
5.5,COC(=O)N[C@H](c1ccccc1)[C@@]1(C)C[C@@H]1[C@@H](C)C(=O)Nc1ccc2ccccc2c1
5.3,CCN(CC)CC#CCOC(=O)[C@@](O)(c1ccccc1)C1CCCCC1
5.7,COC(=O)C/C=C\[C@@H](C)[C@@H](/C=N\OC[C@@H](C)[C@H](OCc1ccccc1)C(C)C)OC
5.5,Cc1ncc(CSc2ccccc2N)c(CO)c1O
5.7,COc1cccc(/C=C/C2=CC3(C)CC2(C)C(c2cccc(OC)c2)CC3=O)c1
6.3,c1ccc(CO[C@H]2NCCN2Cc2ccccc2)cc1
4.4,CN1CCN(c2nc(-c3ccc4c(c3)OCO4)nc3ccccc23)CC1
5.2,CC(=O)c1ccc(C2C=CC(Oc3ccc(F)cc3C)C(CO)O2)cc1
5.3,COc1ccccc1-c1cncnc1Nc1ccc(F)cc1
7.1,NCCCCCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12
4.7,COc1ccc(C(=O)N2CCC3(CC2)CN(c2ccc(-c4ccccc4)cc2)C3)cc1
6.4,C[C@@H]1CC[C@H]2C(=O)O[C@H](CN=[N+]=[N-])CN2[C@@H]1c1ccc(Br)cc1
5.4,COc1ccccc1-c1cncnc1Nc1ccccc1
5.6,C=C1C(=O)O[C@H]2C[C@@]3(C)CCCC(=C)[C@@H]3C[C@H]12
5.6,N=C(N)N[C@H](CC(=O)O)c1ccccc1
5.0,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCc1ccccc1
6.5,Cc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c2ccc(F)cc12
6.6,Clc1ccc([C@H](Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1
5.9,CCCCC1CN2C(CCC(C)C2c2ccc(Br)cc2)C(=O)O1
7.4,O=C(N/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(c4cccc(Oc5ccccc5)c4)C(=O)[C@H]3CC[C@H]12)OCc1ccccc1
5.5,Cc1ccc(O)cc1.Cc1cccc(O)c1.Cc1ccccc1O
4.7,COCCn1c(=O)c(-c2cccs2)nc2cnc(OC)nc21
5.6,COC(=O)[C@@]1(Cc2ccc(OC)cc2)[C@H]2c3cc(C(=O)N4CCCC4)n(CCN4CNCC4=O)c3C[C@H]2CN1C(=O)c1ccccc1
4.5,COC(=O)[C@@]1(Cc2ccc(OC)cc2)[C@H]2c3cc(C(=O)N4CCCC4)n(CCc4ccc(OC)c(Br)c4)c3C[C@H]2CN1C(=O)c1ccccc1
5.0,Nc1ccccc1C#Cc1ccccc1
