pchembl_value,canonical_smiles
5.1,O=C(c1cccc(F)c1)N1CCC2(CCN(Cc3ccccc3)CC2)CC1
5.0,CN(C)C(=O)c1ccc(-c2ccc3ncnc(Nc4ccc(F)cc4)c3c2)cc1
4.65,CCCCn1nc2cc(C(=O)NC3CCCc4ccccc43)ccc2c1OCC
4.8,CCOc1c2ccc(C(=O)NCc3ccc4c(c3)OCO4)cc2nn1CCOC
5.65,COc1ccc(NC(=O)CSc2nc(C)c3c(c2C#N)CCCC3)cc1
5.1,O=C(NCCCN1CCOCC1)C1COc2ccccc2O1
5.0,S=C=Nc1cccc(C2(N3CCCCC3)CCCCC2)c1
4.8,c1ccc(CC2=NCCN2)cc1
6.2,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
5.5,COc1ccc(O[C@H]2C=C[C@@H](c3ccccc3)O[C@@H]2CO/N=C(\C)CCN2CCCc3nc(C)c(C)cc32)cc1
4.55,O=C(N/C(=C/c1cccs1)c1nc2ccccc2[nH]1)c1ccccc1
4.7,COc1ccc2[nH]cc(CCNc3ccnc(-c4cccc(NS(C)(=O)=O)c4)n3)c2c1
4.85,Cc1ccc(NC(=O)c2c(C(F)(F)F)nn(C)c2SCc2cccc(C(F)(F)F)c2)cc1C
4.6,CCCCCCCCCOc1ccc2[nH]cc(CCN)c2c1
4.8,C[C@H](N)Cc1c[nH]c2ccc(O)cc12
5.8,COc1ccc(/C(O)=C(\C#N)c2nc3ccccc3n2C)cc1OC
4.8,O=S(=O)(c1ccccc1)N1CCC[C@@]2(CCN(c3ncccn3)C2)C1
5.3,CC(C)NC[C@@H](O)COc1cccc2ccccc12
5.0,CN/C(=N/C#N)NCCSC[C@H]1N=CN=C1C
5.4,Cc1ccc(C)c(/C(=N\N=C(N)N)C2CC2)c1
4.6,CCOc1nnc(C)c2c(C)n(-c3ccc(Cl)cc3)nc12
4.65,COc1ccccc1CNC(=O)c1cc2c(C)nn(Cc3ccc(F)cc3)c2s1
4.75,O=C(COc1ccc(Br)cc1)N1CCC(c2ccccc2)C1
5.1,c1cncc(-c2nccc(-n3ccnc3)n2)c1
5.1,O=C(c1ccncc1)N1CCC2(CC1)CN(c1ccccc1)C2
4.8,CCOc1cc(/C=N/O)ccc1OS(=O)(=O)c1ccc(C)cc1
4.7,CCCCC1(C)Nc2ccccc2-c2nc3ccccc3n21
4.9,CCOCCN1CCC(OC(C)=O)C(C)C1.Cl
4.7,O=C(c1cc(-c2ccc(Cl)cc2Cl)on1)N1CCN(C(=O)c2ccco2)CC1
4.4,O=C(CN(CC1CCCO1)C(=O)CNS(=O)(=O)c1ccc(Cl)cc1)NCCc1ccccc1
5.6,C[C@@H](C(=O)Nc1ccc2ccccc2c1)[C@H]1C[C@]1(C)[C@H](NC(=O)Oc1ccc(F)cc1)c1ccccc1
5.5,OC[C@H](CCc1c[nH]c2ccccc12)c1c[nH]c2ccccc12
6.05,COCCCN=C(S)NC1CC2CCCC(C1)N2Cc1cccs1
4.85,O=c1ccc(NS(=O)(=O)c2ccccc2)cn1Cc1ccc(Cl)c(Cl)c1
4.4,CCC(C)(C)/N=C(\NC#N)Nc1cccnc1
4.4,CN(C)CCO[C@](C)(c1ccccc1)c1ccccn1.O=C(O)CCC(=O)O
5.7,CCOC(=O)C1(S(=O)(=O)c2ccccc2)CCN(Cc2ccccc2)CC1
4.6,CCN1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
5.0,COc1ccc(-c2cnnn2-c2ccc(NC(=O)c3ccco3)cc2)cc1OC
4.9,C#CCCCC(=O)Nc1ccccc1
4.4,CCCCC(=O)NCCc1c(Cc2ccccc2)[nH]c2ccccc12
4.65,CCCCN=C(S)NNC(=O)c1csc2c1CCC(C)C2
4.6,O=[N+]([O-])c1cc2c(cc1/C=N/c1ccccc1)OCO2
