PUBCHEM_CID,unstable,canonical_smiles
2466,0,CCCCOc1ccc(CC(=O)NO)cc1
1259573,0,COc1ccc(CCn2c(N)cc(=O)[nH]c2=S)cc1OC
1275864,0,COc1ccc(Cl)cc1C(=O)Nc1ccc(NC(=O)c2ccco2)cc1
4878,0,CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21
2030130,0,Cn1c2ccccc2c(=O)c2c(=O)n(-c3ccccc3)c(C3CCCCC3)nc21
4422695,0,Cc1ccc(NS(=O)(=O)c2cccc(C(=O)O)c2)cc1S(=O)(=O)N1CCOCC1
1131802,0,COc1cc(-c2nc(-c3ccccc3)c(-c3cccs3)[nH]2)cc(OC)c1O
759785,0,CN(C)c1ccnc2sc(C(N)=O)c(N)c12
2886111,0,CC(C)(C)C1CCc2c(sc(NC(=O)c3ccncc3)c2C(N)=O)C1
1489415,0,N=c1c2ccccc2nnn1-c1ccc(C(F)(F)F)cc1
1075912,0,O=C(O)c1ccc(Nc2nc(-c3cc4ccccc4oc3=O)cs2)cc1O
15740787,0,COc1ccc(C2=Nn3c([n+](C)c4ccccc43)SC2)cc1.[Br-]
16187362,0,CCOC(=O)C1(Cc2ccccc2C(F)(F)F)CCN(C2CCN(C(C)C)CC2)CC1
16682542,0,CCO.Nc1nc(N)c2cc(Sc3ccc4ccccc4c3)ccc2n1
4880352,0,O=C(Nc1nc(-c2ccccn2)cs1)c1cccc(-n2cnnn2)c1
1955100,0,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCN(C(=S)Nc4ccccc4)CC3)nc21
2985259,0,O=C(Nc1ccc(N2CCN(C(=O)c3ccccc3F)CC2)cc1)c1cncc(Br)c1
16452407,0,Cc1cccc(-n2ccc(=O)c(C(=O)Nc3ccc(S(=O)(=O)Nc4nccs4)cc3)n2)c1
6461311,0,O=C(Nc1ccccc1O)c1ccc(NC(=O)C2CC2)cc1
16397347,0,C#CC1(O)CCC2C3CCC4=C/C(=N/OCC(=O)NCC(=O)NC(C(=O)O)C(C)C)CC[C@]4(C)C3CC[C@@]21C
16396759,0,C/C(=N\NC(N)=S)C1=CCC2C3CC[C@H]4CC(O)CC[C@]4(C)C3CC[C@]12C
9268266,0,COc1ccc(OCCN2CCN(C(=O)c3ccc(OC)cc3)CC2)cc1
741756,0,CS(=O)(=O)c1ccc2nc(NC(=O)C3CC3)sc2c1
4451672,0,Nc1c(-c2ccccc2)cnc2c(-c3ccccc3)cnn12
23604753,0,Cc1nc2c(-c3ccccc3)cnn2c(N)c1-c1ccccc1
434973,0,COc1c(O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1C(NC(C)=O)CC2
277845,0,O=C1CCCCc2cc(O)c(O)cc21
3233606,0,O=C(c1cccc(F)c1)N1CCC2(CCN(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)CC1
3234914,0,CS(=O)(=O)Nc1cccc(-c2nccc(-n3ccnc3)n2)c1
3235438,0,Clc1ccccc1-c1nccc(-n2ccnc2)n1
3235557,0,Cc1noc(C)c1-c1ccc2ncnc(N3CCC(C(=O)O)CC3)c2c1
79472,0,Cc1cc(N)c2cc(NC(=O)Nc3ccc4nc(C)cc(N)c4c3)ccc2n1.Cl.Cl
24867565,0,Cc1c([C@@H](C)C2NC[C@H](C)C[C@@H]2O)ccc2c1C[C@@H]1[C@H]2CC=C2C[C@@H](O)CC[C@@]21C
193613,0,N[C@@H](CSCc1ccccc1)C(=O)O
3246218,0,OCCNc1ncnc2c1ncn2[C@@H]1O[C@@H](CO)[C@H](O)[C@@H]1O
3000668,0,C[N+]1([O-])[C@@H]2CC[C@H]1CC(OC(=O)C(CO)c1ccccc1)C2
256519,0,COc1c2c(c3c(c1CCC(=O)O)OC(C)(C)C=C3)OC(C)(C)C=C2
92180,0,CC(C)=CCNc1ncnc2nc[nH]c12
269325,0,Cc1nc(N)nc2ccccc12
3246430,0,Nc1ncnc2c1ncn2[C@H]1O[C@@H](CO)[C@@H](O)[C@H]1N
284708,0,NCC(=O)Nc1ccc(Cl)cc1C(=O)c1ccc[nH]1
3246481,0,C[C@@H](CCC[C@@H]1SC[C@H]2NC(=O)N[C@H]12)C(=O)O
3246541,0,COc1ccc2cc1Oc1ccc(cc1)C[C@@H]1c3c(cc(OC)c4c3Oc3cc5c(cc3O4)CCN[C@H]5C2)CCN1C
67532,0,N[C@@H](Cc1cc(Br)c(O)c(Br)c1)C(=O)O
5281708,0,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12
9363,0,CCN(CC)C(=O)c1ccc(O)c(OC)c1
53708,0,CSc1ccc(C(=O)c2[nH]c(=O)[nH]c2C)cc1
5702161,0,Br.CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1
53276,0,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N
5034,0,O=C1Nc2ccc(I)cc2C1=Cc1cc(Br)c(O)c(Br)c1
5280961,0,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12
3825,0,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
262093,0,O=C1C(SCCO)=C(SCCO)C(=O)c2ccccc21
4477,0,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
5353685,0,COc1cc(/C=C(\C#N)C(=O)c2ccc(O)c(O)c2)cc(I)c1O
5280445,0,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
4030,0,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1
180081,0,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12
24360,0,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
4622,0,CCCOc1ccc2nc(NC(=O)OC)[nH]c2c1
123664,0,CC(C)CCNC(=O)[C@H](CC(C)C)NC(=O)[C@H]1O[C@@H]1C(=O)O
9681,0,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1
10219,0,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21
126941,0,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
6167,0,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
219050,0,Oc1ccc2[nH]cc(CCCCN3CC=C(c4ccccc4)CC3)c2c1
6604934,0,CC1(C)C(=O)NC2=C1C(=O)C(=O)c1ccccc12
