PUBCHEM_CID,low_permeability,Phenotype,canonical_smiles
563972,0,High,CSc1nnc2c3ccccc3n(CCc3ccccc3)c2n1
766793,0,High,CCN(CC)C(=O)N1c2ccccc2C=Cc2ccccc21
2021006,0,High,Nc1c(S(=O)(=O)c2cccs2)c2nc3ccccc3nc2n1Cc1ccccc1
1075912,0,Moderate,O=C(O)c1ccc(Nc2nc(-c3cc4ccccc4oc3=O)cs2)cc1O
6460634,0,High,CCOc1ccc(S(=O)(=O)NCc2cccnc2)cc1NC(=O)c1ccccc1F
434973,0,Moderate,COc1c(O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1C(NC(C)=O)CC2
426728,0,Moderate,COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(N)CC2
667466,0,High,CN(C)CC/C=C1\c2ccccc2Sc2ccc(Cl)cc21
53276,0,High,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N
3559,0,High,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
133633,0,High,OC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1
4658,0,High,COc1ccccc1N1CCN(CCN(C(=O)c2ccc(I)cc2)c2ccccn2)CC1
6603915,0,Moderate,COc1ccccc1N1CCN(CCN(C(=O)c2ccc(F)cc2)c2ccccn2)CC1
16363,0,Moderate,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
4030,0,High,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1
180081,0,Moderate,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12
6604471,0,High,COC(=O)Nc1nc2ccc(SC(C)C)cc2[nH]1
3627,0,High,CN1CCCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
10607,0,High,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC
10219,0,Moderate,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21
3689,0,Moderate,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1
2396,0,Moderate,CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21
108092,0,High,CCN(CC)CCOc1ccc(Cc2ccccc2)cc1
6167,1,Low,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
664510,0,High,CNc1oc(-c2cccc3ccccc23)nc1C#N
663191,0,High,COc1ccccc1-c1nnc2sc(-c3ccc(N(C)C)cc3)nn12
790407,0,High,O=C(Nc1cccnc1)c1cccs1
1265525,0,High,COc1cc(C(=O)N2CCN(c3cc(Cl)ccc3Cl)CC2)cc(OC)c1OC
2159,1,Low,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC
3237082,0,High,Cc1ccccc1NC(=O)Nc1cccs1
15991077,0,High,COc1cccc(C(=O)Nc2ccc3oc(-c4ccc5ccccc5c4)nc3c2)c1
1725261,0,High,CC(=O)c1c(C)oc2ccc(N(C(=O)Oc3ccccc3)S(=O)(=O)c3ccccc3)cc12
15991223,0,High,Cc1ccc(CN2C(=O)C(O)(CC(=O)c3ccc(C)cc3)c3ccccc32)cc1
1205402,0,High,COc1ccc(-n2c(C)c(C(C)=O)c3cc(OC(=O)COc4ccccc4)ccc32)cc1
6407314,0,High,C#CCOc1ccc(-c2nnc(Nc3ccc(NC(C)=O)cc3)c3ccccc23)cc1
1017166,0,High,CCOc1cc(CNc2ccc(O)cc2)ccc1OCc1ccc(Cl)cc1
