PUBCHEM_CID,low_moderate_permeability,Phenotype,canonical_smiles
2466,0,High,CCCCOc1ccc(CC(=O)NO)cc1
1259573,1,Low,COc1ccc(CCn2c(N)cc(=O)[nH]c2=S)cc1OC
1275864,0,High,COc1ccc(Cl)cc1C(=O)Nc1ccc(NC(=O)c2ccco2)cc1
4878,0,High,CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21
2030130,0,High,Cn1c2ccccc2c(=O)c2c(=O)n(-c3ccccc3)c(C3CCCCC3)nc21
4422695,1,Moderate,Cc1ccc(NS(=O)(=O)c2cccc(C(=O)O)c2)cc1S(=O)(=O)N1CCOCC1
1131802,0,High,COc1cc(-c2nc(-c3ccccc3)c(-c3cccs3)[nH]2)cc(OC)c1O
759785,1,Moderate,CN(C)c1ccnc2sc(C(N)=O)c(N)c12
2886111,0,High,CC(C)(C)C1CCc2c(sc(NC(=O)c3ccncc3)c2C(N)=O)C1
1489415,0,High,N=c1c2ccccc2nnn1-c1ccc(C(F)(F)F)cc1
1075912,1,Low,O=C(O)c1ccc(Nc2nc(-c3cc4ccccc4oc3=O)cs2)cc1O
15740787,1,Low,COc1ccc(C2=Nn3c([n+](C)c4ccccc43)SC2)cc1.[Br-]
16682542,0,High,CCO.Nc1nc(N)c2cc(Sc3ccc4ccccc4c3)ccc2n1
4880352,0,High,O=C(Nc1nc(-c2ccccn2)cs1)c1cccc(-n2cnnn2)c1
1955100,1,Moderate,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCN(C(=S)Nc4ccccc4)CC3)nc21
2985259,0,High,O=C(Nc1ccc(N2CCN(C(=O)c3ccccc3F)CC2)cc1)c1cncc(Br)c1
6461311,0,High,O=C(Nc1ccccc1O)c1ccc(NC(=O)C2CC2)cc1
16397347,1,Low,C#CC1(O)CCC2C3CCC4=C/C(=N/OCC(=O)NCC(=O)NC(C(=O)O)C(C)C)CC[C@]4(C)C3CC[C@@]21C
741756,0,High,CS(=O)(=O)c1ccc2nc(NC(=O)C3CC3)sc2c1
23604753,0,High,Cc1nc2c(-c3ccccc3)cnn2c(N)c1-c1ccccc1
434973,1,Moderate,COc1c(O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1C(NC(C)=O)CC2
277845,1,Moderate,O=C1CCCCc2cc(O)c(O)cc21
3234914,0,High,CS(=O)(=O)Nc1cccc(-c2nccc(-n3ccnc3)n2)c1
3235438,0,High,Clc1ccccc1-c1nccc(-n2ccnc2)n1
3235557,1,Low,Cc1noc(C)c1-c1ccc2ncnc(N3CCC(C(=O)O)CC3)c2c1
79472,1,Low,Cc1cc(N)c2cc(NC(=O)Nc3ccc4nc(C)cc(N)c4c3)ccc2n1.Cl.Cl
3246218,1,Low,OCCNc1ncnc2c1ncn2[C@@H]1O[C@@H](CO)[C@H](O)[C@@H]1O
256519,1,Moderate,COc1c2c(c3c(c1CCC(=O)O)OC(C)(C)C=C3)OC(C)(C)C=C2
92180,1,Moderate,CC(C)=CCNc1ncnc2nc[nH]c12
269325,1,Moderate,Cc1nc(N)nc2ccccc12
3246430,1,Low,Nc1ncnc2c1ncn2[C@H]1O[C@@H](CO)[C@@H](O)[C@H]1N
284708,0,High,NCC(=O)Nc1ccc(Cl)cc1C(=O)c1ccc[nH]1
3246541,0,High,COc1ccc2cc1Oc1ccc(cc1)C[C@@H]1c3c(cc(OC)c4c3Oc3cc5c(cc3O4)CCN[C@H]5C2)CCN1C
67532,1,Low,N[C@@H](Cc1cc(Br)c(O)c(Br)c1)C(=O)O
5281708,1,Low,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12
9363,0,High,CCN(CC)C(=O)c1ccc(O)c(OC)c1
53708,1,Moderate,CSc1ccc(C(=O)c2[nH]c(=O)[nH]c2C)cc1
3343,1,Low,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1
53276,1,Moderate,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N
5034,0,High,O=C1Nc2ccc(I)cc2C1=Cc1cc(Br)c(O)c(Br)c1
3825,1,Low,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
262093,0,High,O=C1C(SCCO)=C(SCCO)C(=O)c2ccccc21
5353685,1,Low,COc1cc(/C=C(\C#N)C(=O)c2ccc(O)c(O)c2)cc(I)c1O
5280445,0,High,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
4030,0,High,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1
180081,0,High,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12
24360,1,Moderate,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
123664,1,Low,CC(C)CCNC(=O)[C@H](CC(C)C)NC(=O)[C@H]1O[C@@H]1C(=O)O
9681,0,High,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1
126941,1,Low,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
6167,1,Low,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
219050,0,High,Oc1ccc2[nH]cc(CCCCN3CC=C(c4ccccc4)CC3)c2c1
6604934,1,Moderate,CC1(C)C(=O)NC2=C1C(=O)C(=O)c1ccccc12
654450,0,High,O=C(NCc1ccco1)c1nc2nc(-c3cccs3)cc(C(F)(F)F)n2n1
651756,1,Moderate,COc1ccc2[nH]c(=O)c(-c3noc(-c4ccc(F)cc4)n3)cc2c1
2120761,0,High,O=C(c1ccc2ccccc2c1)N1CCN(c2ccc(O)cc2)CC1
2120852,1,Moderate,O=C(Nc1cc(C(F)(F)F)ccc1N1CCOCC1)c1n[nH]c(=O)c2ccccc12
804919,1,Low,O=C(O)CCC(=O)Nc1nc(-c2ccccc2)cs1
699459,0,High,O=S(=O)(c1ccc(Cl)cc1)c1ccccn1
3237670,1,Moderate,CCCCCn1c(=O)[nH]c2cc(C(=O)NCCCN3CCCCC3)ccc2c1=O
3239035,1,Moderate,COc1ccc(Cn2c(=O)[nH]c3cc(C(=O)NCCCN4CCCCC4)ccc3c2=O)cc1
68261,1,Moderate,O=c1c2ccccc2nc2n1CCC2
3243406,1,Moderate,COc1ccc(-c2nc(CS(=O)CC(=O)N3CCC4(CC3)OCCO4)c(C)o2)cc1
1305820,0,High,Cc1onc(-c2ccccc2)c1C(=O)Nc1nnc(COc2ccc(Cl)cc2)s1
1245328,0,High,O=C(Nc1ccc(C(=O)N2CCCC2)cc1)c1ccccc1F
2958396,0,High,c1ccc(-c2nnc3n2NC(c2ccc4c(c2)OCO4)S3)cc1
1079729,1,Moderate,COc1cccc(CNc2ccc(S(=O)(=O)Nc3nccs3)cc2)c1O
664662,0,High,COc1ccc2[nH]c(=O)c(-c3noc(-c4ccccc4)n3)cc2c1
3245031,0,High,COCCNC(=O)c1ccc(Cn2c(=S)[nH]c3cc4c(cc3c2=O)OCO4)cc1
3237063,0,High,Cc1ccccc1-c1nc(CN2CCC(C(=O)NCCCN3CCOCC3)CC2)c(C)o1
790407,1,Moderate,O=C(Nc1cccnc1)c1cccs1
6603237,1,Low,CCCc1c(CC)c(=N)c2ccccc2n1C.I
2159,1,Low,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC
3237082,0,High,Cc1ccccc1NC(=O)Nc1cccs1
5289419,0,High,COc1ccc2c(c1)/C(=C/c1cnc[nH]1)C(=O)N2
4059,1,Moderate,Cc1ccccc1OCC(O)CO
135398638,1,Low,O=c1[nH]cnc2nc[nH]c12
15991160,0,High,O=C(Nc1ccc2oc(-c3cccnc3)nc2c1)c1ccc(-c2cccc(Cl)c2)o1
721046,1,Moderate,Cc1ccc(-n2ncc3c(Nc4cccc(C(=O)O)c4)ncnc32)cc1
