logS,canonical_smiles
-5.54801969566953,CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nn2c(C(=O)N[C@@H]3C[C@@H]3F)cnc12
-5.071408991961754,CCOc1cc2nn(CCC(C)(C)O)cc2cc1NC(=O)c1cccc(C(F)F)n1
-3.925969395299357,CC(C)(Oc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cc1)C(=O)O
-4.535280051805512,CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1
-4.70996281408114,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1
-3.795549032327418,COc1ccc(S(=O)(=O)N2CCC(N3CCC(C)CC3)CC2)cc1
-3.852570829476536,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2
-4.110101632632705,N#Cc1ccc2[nH]c(O)c(-c3ccc(CN4CCOCC4)cn3)c2c1
-3.80170228199551,CCCc1cc(N2CCc3c(nc(C4CC4)n3C)C2)n2ncnc2n1
-3.72540511285351,C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C
-4.399056409720074,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC
-4.628666061399768,C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1
-4.224050832690105,Nc1n[nH]cc1-c1cc(Cl)ccc1Oc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl
-5.377649203116202,Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O
-5.2412509491662025,Cn1cc(-c2cn3nccc3c(-c3cnn([C@]4(CC#N)C[C@@H](C#N)C4)c3)n2)cn1
-3.840587880366625,O=C(Nc1cccnc1)c1ccnc(NC(=O)C2CC2)c1
-3.9480539111991835,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1
-5.095392545523328,CC(C)(C)c1ccc(-c2nc3n(c(=O)c2C#N)CCS3)cc1
-3.8472918140187193,CC#CC(=O)N1CC[C@@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1
-3.908552569974956,C=CC(=O)N1CCC[C@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1
