logS,canonical_smiles
-2.27149991766292,O=C(NC(=O)c1ccccc1)c1ccccc1
-3.38217158039768,O=c1c(Cl)c(Cl)cnn1-c1ccccc1
-1.20154604204807,O=Cc1ccccc1
-3.12881623848118,NS(=O)(=O)CCN1C(=O)c2ccccc2C1=O
-3.55945,CN(c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])[N+](=O)[O-]
-3.13785576538003,CC=CC(=O)C1C(C)=CCCC1(C)C
-3.62100962060994,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC1CCCO1
-4.45607063214827,CCOC(=O)c1cnn(C)c1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1
1.11925775545932,COCCO
0.221406637755405,O=S1OCCO1
-4.04448529251274,CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1
-1.79572096433916,CSc1cc(O)cc(O)c1
-7.8200498115244,Clc1ccc(Cl)c(-c2cc(Cl)cc(Cl)c2Cl)c1
0.796722221725557,CC(C)(C)O
-3.17945124839777,Cc1ccc([N+](=O)[O-])cc1C
-5.15966466192279,CCCCC(C)CC
-1.21014358104816,CC(C)CCC(=O)O
-2.6467780199356,C#CC(C)N(C(=O)CCl)c1ccccc1
-0.415404800529197,OC1C2COC(O2)C(O)C1O
-2.54976179368707,Brc1ccccc1
-8.48975271507659,Clc1cc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c(Cl)c1
-4.87118350822364,CN(C(=O)COc1nc2ccccc2s1)c1ccccc1
-3.0190721750037,COc1ccc(Br)cc1
-1.10011247582202,C=COC1CC1
-2.36971950976478,CC(=O)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1
-7.09059308188299,c1ccc(SCCSc2ccccc2)cc1
-5.8229189425,CCCCCCCCCCCCCCCCCCNC(=O)NCCCNC(=O)NCCCCCCCCCCCCCCCCCC
-0.140184806060503,CCC(=O)OC
-2.71,CC(=O)c1ccc(N=NC(C#N)C#N)cc1
-2.56134435796055,C=CC(C)C(O)c1ccc(Cl)cc1
-2.11290103370169,Cc1nc2c(O)nc(=O)n(C)c2nc1C
-2.557138374298,CC(=O)c1ccc(C)cc1
-0.785412612954771,CC(C)CC(N)C(=O)O
-2.08249974192396,O=C(O)CCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1
0.618643878613457,OCCCO
-8.79731342679999,CCCCC(CC)CNS(=O)(=O)c1ccc(N=Nc2c(C)c(C#N)c(=O)n(CCCC)c2O)cc1
-2.43151041730671,CS(=O)(=O)c1ccc(C(O)C(CF)NC(=O)C(Cl)Cl)cc1
0.62082815523104,CCCO
-4.34953006379626,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1
-2.016176691517,CC(=O)OCOC(=O)c1ccccc1OC(C)=O
-1.97000000001524,C1=CCC=CC1
-1.46446832826426,CCOP(=O)(SC(C)CC)N1CCSC1=O
-4.33502863978401,c1ccc(-c2ccccc2)cc1
0.9864676175,CN(C)CCCO
1.04620492376674,COC(C)OC
-2.6296804025619,CCC(=O)c1ccc(N)cc1
-3.86180093171787,O=[n+]1[nH]c(-n2ccnc2)nc2ccc(Cl)cc21
-4.41717851509906,CON=C(C)Cc1c(Cl)cc(Cl)cc1Cl
-2.0499316070742,CN=C(NC)NCc1ccccc1
-2.32079948439016,CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I
-0.882848146043951,Cc1ccc(N)c(N)c1
-4.17953150242669,CC1(C(=O)Nc2ccc(O)c(Cl)c2Cl)CCCCC1
-0.860835326049414,CCOc1ccc(N)cc1
0.838033383599999,CC1CO1
-4.41118094164897,CCNc1nc(CC)c(C(=O)NC(C#N)c2cccs2)s1
-1.44009337496388,CC(C)CCOC(=N)O
-0.0299999999999979,C1CCOCC1
-4.15,CC(C)(C)Cc1ccccc1
-2.96876342732718,O=Nc1ccc(O)cc1
-4.25804999734258,CNCCC=C1c2ccccc2CCc2ccccc21
-3.93874290637324,Cn1c(O)nc2c(O)nc(O)nc21
-3.25248262815318,CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C
-4.46893780566546,COc1ccsc1CN(C(=O)CCl)c1c(C)cccc1C
-5.4750243488765,CCCCCCCCCCCCCCCCCCCCO
-3.62362652728308,COc1ccc2c(c1)C(CC#N)=CCC2
-2.65378490160038,CCCCCCOC(=O)c1cccnc1
-3.0793542372795,NS(=O)(=O)c1ccccc1-c1nc2ccccc2c(=O)[nH]1
-0.399080411225835,O=C(O)Cc1ccc(O)cc1
-2.39100610481941,C=CCCN=C=S
-4.15856463449078,COc1ccc(Oc2ccc(NC(=O)N(C)C)cc2)cc1
-2.55,OC(c1ccccc1)c1ccccc1
-0.591573244470774,CCC(N=CO)C(=O)O
