mouse_intraperitoneal_LD50_(?log(mol/kg))_(?log(mol/kg)),canonical_smiles
2.245193911,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C
4.922117955,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12
2.967622916,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O
2.598181849,CCC1(CC)C(=O)NC(=O)N(C)C1=O
2.861844937,CCC1(c2ccccc2)NC(=O)N(C)C1=O
3.306187358,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
3.743931673,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
4.044455235,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
2.781375843,O=C(O)c1c(Cl)cccc1Cl
3.102645648,O=C(O)c1c(Cl)ccc(Cl)c1Cl
3.341652064,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
3.788282706,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C
3.810823724,CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1
3.040062946,O=C(O)c1c(Cl)c(Cl)cc(Cl)c1Cl
3.229731915,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1
3.130220623,S=c1nc[nH]c2nc[nH]c12
3.803850261,O=C1C=CC(=O)c2cnccc21
3.582959721,CN(C)CCCN1c2ccccc2CCc2ccccc21
5.085424736,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC
1.890859701,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12
3.290229144,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1
3.678960663,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
3.04193275,NCCc1c[nH]c2ccc(O)cc12
1.099371979,OCC(O)C(O)C(O)C(O)CO
2.665074977,O=C(O)c1cc(Cl)c(Cl)c(Cl)c1Cl
6.225821172,Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1OC1C(C)C(=O)C(N)C(C(=O)NC3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)C1N2
2.712636297,CC(=O)Oc1ccccc1C(=O)O
2.90631458,O=C(O)c1cc(Cl)ccc1Cl
2.373677892,O=C1OC(C(O)CO)C(O)=C1O
1.979092011,CC(=O)Nc1ccc(C(=O)O)c(O)c1
1.984210087,Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O
2.578364108,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F
2.883890007,OC(c1ccccc1)c1nc2ccccc2[nH]1
1.000376226,O=CC(O)C(O)C(O)C(O)CO
3.330250527,CCN(CC)CCOC(=O)c1ccc(N)cc1
3.01527014,CCN(CC)CCNC(=O)c1ccc(N)cc1
2.942491225,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1
4.862976391,C1CN1c1nc(N2CC2)nc(N2CC2)n1
2.134868949,O=c1[nH]cc(Br)c(=O)[nH]1
3.114203851,O=c1[nH]cc(F)c(=O)[nH]1
3.850096953,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
3.353326845,CC(C)NCC(O)c1ccc(Cl)c(Cl)c1
2.84274384,CC(C)NCC(O)c1ccc(O)c(O)c1
2.90631458,O=C(O)c1cc(Cl)cc(Cl)c1
2.350692783,NCCc1cnc[nH]1
2.789776938,C1CN2CN3CCN(CN1C3)C2
2.996496106,N=C(N)NC(=O)Nc1ccc([N+](=O)[O-])cc1
2.2855584,NCCc1ccc(O)c(O)c1
2.262882796,NC(Cc1ccc(F)cc1)C(=O)O
2.998231217,NNCCc1ccccc1
3.886052826,C(#CCN1CCCC1)CN1CCCC1
4.758278058,CN(CCCl)CCCl
2.000701904,CC(C)=CCCC(C)=CCCC(C)=CCCC(=O)OCC=C(C)CCC=C(C)C
