mouse_intravenous_LD50_(?log(mol/kg)),canonical_smiles
5.124693291,COC1C(O)C(CO)OC(OC2C(O)C(CO)OC(OC3C(C)OC(OC4C(OC5CCC6(C)C7=CC(O)C89C(=O)OC(C)(C%10CCC(C)(C)O%10)C8(O)CCC9(C)C7CCC6C5(C)C)OCC(OS(=O)(=O)O)C4O)C(O)C3O)C2O)C1O
4.922117955,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12
3.202742627,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O
3.870551118,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
2.692266159,CCC(O)(COC(N)=O)c1ccccc1
3.301572525,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
3.500429315,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
4.760253983,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C
3.847035897,CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1
4.111452361,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1
3.2792733,S=c1nc[nH]c2nc[nH]c12
4.071009712,CN(C)CCCN1c2ccccc2CCc2ccccc21
4.251042759,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
4.462175445,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC
5.239690742,CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC1=O
2.277196496,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12
3.905192767,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1
4.170533336,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
4.639649817,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
3.147909358,NCCc1c[nH]c2ccc(O)cc12
1.335417157,OCC(O)C(O)C(O)C(O)CO
6.09015857,Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1OC1C(C)C(=O)C(N)C(C(=O)NC3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)C1N2
2.531488781,O=C1OC(C(O)CO)C(O)=C1O
3.623095065,CCC(NC(C)C)C(O)c1ccc(O)c(O)c1
3.17178068,OC(c1ccccc1)c1nc2ccccc2[nH]1
1.301406221,O=CC(O)C(O)C(O)C(O)CO
3.787628062,CCN(CC)CCOC(=O)c1ccc(N)cc1
3.472300244,CCN(CC)CCNC(=O)c1ccc(N)cc1
3.395538973,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1
2.625235259,c1ccc2[nH]cnc2c1
3.205718832,O=c1[nH]cc(F)c(=O)[nH]1
3.516882274,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
3.809295428,CC(C)NCC(O)c1ccc(Cl)c(Cl)c1
3.541370516,CC(C)NCC(O)c1ccc(O)c(O)c1
2.487199423,NCCc1cnc[nH]1
3.714951861,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
3.132837831,NCCc1ccc(O)c(O)c1
2.938271078,NNCCc1ccccc1
3.336834803,C(#CCN1CCCC1)CN1CCCC1
4.892250475,CN(CCCl)CCCl
2.152358809,CC(C)=CCCC(C)=CCCC(C)=CCCC(=O)OCC=C(C)CCC=C(C)C
2.250878453,CCOC(N)=O
5.651525653,C[N+](C)(C)CCOC(N)=O
3.616002626,CCCCCCCCCCCC(=O)OC12C=CC(=O)C3Oc4c(OC)ccc5c4C31CCN(C)C2C5
3.204728195,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12
4.115608217,S=P(N1CC1)(N1CC1)N1CC1
2.980059691,C=CCC1(CC=C)C(=O)NC(=O)NC1=O
3.822613526,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1
3.6197627,O=[N+]([O-])C(Br)(CO)CO
3.62007119,CC(=O)OC1CC[N+](C)(Cc2ccccc2)C1
1.713417004,CC(C)(S)C(N)C(=O)O
2.948272968,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
3.043192319,CC12CCC3C(CCC4CC(O)C(N5CCOCC5)CC43C)C1CCC2=O
4.461095467,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
2.091380654,NC(CS)C(=O)O
3.783840193,CC(=O)C1C(C)CC2C3CCC4CC(O)C(N5CCOCC5)CC4(C)C3C(=O)CC21C
3.872562063,CC(=O)C1CCC2C3CCC4CC(O)C(N5CCOCC5)CC4(C)C3C(=O)CC12C
3.706981995,CC(=O)C1C(C)CC2C3CCC4CC(O)C(N5CCOCC5)CC4(C)C3CCC21C
3.238103336,CC12CCC(=O)CC1CCC1C2CCC2(C)C(C(=O)COC(=O)CCC(=O)O)CCC12
4.287178378,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C
3.974360023,c1ccc(C(c2ccccc2)N2CCN(Cc3ccc4c(c3)OCO4)CC2)cc1
3.820628855,CC(=O)C1CCC2C3CCC4CC(O)C(N5CCOCC5)CC4(C)C3CCC12C
4.898575953,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21
4.114975058,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
3.336787332,CN1CCC(n2[nH]c(-c3ccccc3)c(Cc3ccccc3)c2=O)CC1
4.226282005,COc1cc(C(=O)OCCCN(C)CCN(C)CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC
3.146067443,CN1CC(O)C2=CC(=O)C(=O)C=C21
3.813831764,CCN(CC)CCNC(C(=O)OCCC(C)C)c1ccccc1
3.030947823,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
2.668672445,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
3.929797987,CC[Hg]Sc1ccccc1C(=O)O
3.223931367,CCC1C(=O)OCC1Cc1cncn1C
5.077590447,C[N+]1(C)CCN(c2ccccc2)CC1
3.858717349,CC(C)NCC(O)c1ccc2ccccc2c1
3.988038868,CN(C)CCCSc1ccccc1NC(=O)C=Cc1ccccc1
2.96398421,NNC(=O)c1ccncc1
1.47018419,O=C(O)c1cccnc1
3.643496682,C1CCc2nnnn2CC1
3.924008762,Nc1ccncc1N
2.542315477,CCN(CC)N=O
1.391326855,O=C(O)c1ccncc1
2.939417843,COP(=S)(OC)Oc1ccc(SC)c(C)c1
3.715635708,ClCCN(Cc1ccccc1)Cc1ccccc1
5.380215866,C[N+](C)(C)CC#CCOC(=O)Nc1cccc(Cl)c1
4.093956842,CC(Cc1ccccc1)NN
4.323473833,N=C(N=C(N)Nc1ccc(Cl)cc1)NCCCCCCNC(=N)N=C(N)Nc1ccc(Cl)cc1
4.330882583,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
3.940188494,N=C(N)NCCN1CCCCCCC1
4.036214623,CNC(=NCc1ccccc1)NC
4.76001467,CC(C)OP(=O)(F)OC(C)C
3.013959516,N=C(N)SCCN
1.574330387,NCCCC(=O)O
4.997180257,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC
3.287681076,CCCC[Sn](CCCC)(CCCC)OC(C)=O
4.028765494,CC[N+](CC)(CC)Cc1ccccc1
4.350344948,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1
1.812435335,NCC(=O)O
2.951590055,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1
3.615354961,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12
2.747819724,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O
3.467987283,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
1.335842406,OCC(O)CO
3.740344914,ON=Cc1cc[n+](CCC[n+]2ccc(C=NO)cc2)cc1
4.073950401,CCCCCCCCCCCCCCCC[N+](C)(C)C
3.653093977,CCCCCCCCCCCCCCCC(=O)O
1.115798571,NC(N)=O
2.312172449,CN(C)N
3.541719974,C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5
3.019652686,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
4.359774472,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1
3.42436382,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
5.837828244,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C
3.279130588,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O
2.977232386,CCCC(C)(COC(N)=O)COC(N)=O
1.059842593,CC(O)CO
3.616678835,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12
2.428971774,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
3.721977123,CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O
6.73478928,COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C
3.226697621,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1
2.877351016,Cc1c2ccccc2c(C)c2c1ccc1ccccc12
3.763058637,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3
3.341550513,Cn1c(=O)c2c(ncn2C)n(C)c1=O
4.011360276,CCN(CC)CCSC(=O)N(c1ccccc1)c1ccccc1
3.472079152,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
3.970202455,CNCCCN1c2ccccc2CCc2ccccc21
3.773559304,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
3.643398096,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
3.806239608,CN(C)CCCN1c2ccccc2Sc2ccccc21
3.325555342,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2
3.236132011,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
2.464236707,Cc1ncc(CO)c(CO)c1O
1.981347699,O=c1nc[nH]c2c1ncn2C1OC(CO)C(O)C1O
1.911323034,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1
4.252549071,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
1.123389041,O=CC(O)C(O)C(O)CO
2.702992466,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
2.497766061,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O
3.464841929,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O
3.844569884,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
2.089339808,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br
2.995720485,CCN(CC)C(=O)c1cccnc1
3.019697031,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1
4.080096324,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1
3.01755561,Cc1ccccc1OCC(O)CO
3.3089758,Cc1cc(O)ccc1Cl
3.346038458,OCC(S)CS
3.059501783,CCCSSC(CCO)=C(C)N(C=O)Cc1cnc(C)nc1N
3.678154753,CC(COc1ccccc1)N(CCCl)Cc1ccccc1
3.501641358,c1ccc(CC2=NCCN2)cc1
2.975384413,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC
3.660618188,S=C(N=Nc1ccccc1)NNc1ccccc1
2.798347722,NCCc1ccc(O)cc1
2.608593588,NCCS
3.822117648,C[N+](C)(C)CCCCCC[N+](C)(C)C
1.87169365,CCOCC
4.06608868,CC(=O)OCC[N+](C)(C)C
1.427654993,NCCCCCC(=O)O
0.771352266,CC(N)=O
4.328008613,CC[N+](C)(CC)CCOC(=O)C(O)(c1cccs1)C1CCCC1
3.504395959,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12
5.121013098,Cc1c(C(C)C2NCC(C)CC2O)ccc2c1CC1C2CC=C2CC(O)CCC21C
3.354071072,CC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1
2.575718838,Cc1cc(=O)n(-c2ccccc2)n1C
3.80345735,CC(CN1c2ccccc2Sc2ccccc21)N(C)C
3.673269182,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
3.830780095,COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2
3.742984616,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2
4.956106478,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1
4.623251346,COc1ccc(OC)c(C(O)C(C)N)c1
1.919521579,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CCCC(N)C(=O)O)C2SC1
3.726867545,CN(C)CCc1c[nH]c2ccccc12
3.40026809,Cc1cccc(Nc2ccccc2C(=O)O)c1C
3.340707344,Nc1nc2nc(-c3ccccc3)nc(N)c2nc1C(=O)NCCN1CCOCC1
3.567451083,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1
2.651625933,Nc1nc2cc(Cl)ccc2o1
1.225733029,Nc1nnc[nH]1
2.818803928,CNCC(=O)c1ccc(O)c(O)c1
2.336537702,O=C(O)c1ccc([N+](=O)[O-])cc1
4.272022202,CC(=O)O[Hg]c1ccccc1
4.028671546,CC(=O)OC(C)C[N+](C)(C)C
4.213951732,CCCCCCC(=O)OC12C=CC(=O)C3Oc4c(OC)ccc5c4C31CCN(C)C2C5
5.772132395,CC=C(C)C(=O)OC1CCC2(C)C3CCC4C5(O)CC(O)C6(O)C(CN7CC(C)CCC7C6(C)O)C5(O)CC42OC13O
3.770245539,CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1
4.089072603,COP(=O)(OC)OC=C(Cl)Cl
3.778385038,O=C(O)CF
4.212494152,COc1cc(NC(C)CCCN)c2ncccc2c1
2.537085841,Nc1ccc(S(N)(=O)=O)cc1
5.136891401,CNC(=O)Oc1cccc(C(C)C)c1
3.284128363,NCCc1ccccc1
3.860167723,CCC(=O)OC1(c2ccccc2)CC(C)N(C)CC1C
3.986763339,CCC1(C)CC(=O)NC(=O)C1
2.545442074,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
5.371005893,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2
3.850865675,CCC(=O)c1ccc2c(c1)Sc1ccccc1N2C(C)CN(C)C
2.632078148,Cc1ncc(CO)c(C=O)c1O
5.453002189,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC
2.641613474,NC(=O)c1ccccc1O
1.625200867,Nc1ccc(C(=O)O)c(O)c1
2.306903831,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
3.357198277,CC(CNN)c1ccccc1
6.088407807,CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2C1=CC(=O)OC1
5.844797254,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46
3.5652915,CC[N+](CC)(CC)CC
4.000506382,c1cnc2c(c1)ccc1cccnc12
3.903476286,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O
3.273158748,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1
3.260243989,COc1ccc2[nH]cc(CCN)c2c1
3.527083229,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
5.348949078,Cc1ccccc1OCC[N+](C)(C)C
3.416795948,C[N+](C)(C)CCO
1.600156326,CC(C)O
1.401489481,CS(C)=O
3.99234168,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1
4.621654217,CN1C(=O)C23CC4=CC=CC(O)C4N2C(=O)C1(CO)SS3
1.465947662,CN(C)C=O
3.749804805,Cc1ccc(S(=O)(=O)Nc2ccccc2)cc1
2.984118429,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
2.151436946,Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C
3.962646274,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12
4.540585276,CCC(c1ccc(OCCN(CC)CC)cc1)C(CC)c1ccc(OCCN(CC)CC)cc1
3.906360086,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
4.106894798,C[N+](C)(C)CC[N+]1(C)Cc2c(Cl)c(Cl)c(Cl)c(Cl)c2C1
3.772088521,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O
3.326761752,Oc1cccc2nc3c(O)cccc3nc12
1.880579984,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O
2.658368945,O=C(O)c1ccccc1O
1.540899459,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1
1.106268299,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
1.94254135,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C(F)(F)F
