mouse_oral_LD50_(?log(mol/kg)),canonical_smiles
4.16245011,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12
2.477179554,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O
2.598181849,CCC1(CC)C(=O)NC(=O)N(C)C1=O
2.695513515,CCC1(c2ccccc2)NC(=O)N(C)C1=O
3.117565846,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
4.223668967,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C
2.401576997,CCC(O)(COC(N)=O)c1ccccc1
2.331535748,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
3.419271445,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
2.564190534,O=C(O)c1c(Cl)ccc(Cl)c1Cl
2.892836768,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
2.918073946,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C
2.688432725,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
2.754792846,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1
2.540077718,S=c1nc[nH]c2nc[nH]c12
3.09105597,CN(C)CCCN1c2ccccc2CCc2ccccc21
3.373283979,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
4.085424736,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC
3.292155616,CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC1=O
1.318589181,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12
2.449260812,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1
2.848013827,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
2.51471108,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
3.467901482,NCCc1c[nH]c2ccc(O)cc12
0.964060285,OCC(O)C(O)C(O)C(O)CO
4.986939083,Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1OC1C(C)C(=O)C(N)C(C(=O)NC3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)C1N2
2.857715954,CC(=O)Oc1ccccc1C(=O)O
1.587963765,O=C1OC(C(O)CO)C(O)=C1O
2.361984833,O=C(O)c1ccc(Cl)cc1Cl
1.926996597,Cc1ccc(C(=O)O)c(O)c1
3.22396013,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F
2.114513471,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2
2.979938243,CCN(CC)CCOC(=O)c1ccc(N)cc1
2.488937999,CCN(CC)CCNC(=O)c1ccc(N)cc1
2.703868208,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1
1.608500301,c1ccc2[nH]cnc2c1
4.134043164,C1CN1c1nc(N2CC2)nc(N2CC2)n1
3.053506011,O=c1[nH]cc(F)c(=O)[nH]1
3.611857788,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
3.177235586,CC(C)NCC(O)c1ccc(Cl)c(Cl)c1
2.448027802,CC(C)NCC(O)c1ccc(O)c(O)c1
3.586399745,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
1.545618814,NCCc1ccc(O)c(O)c1
2.14244205,COc1ccc(NC(C)=O)cc1
2.991961547,NNCCc1ccccc1
3.992593807,CN(CCCl)CCCl
1.699671908,CC(C)=CCCC(C)=CCCC(C)=CCCC(=O)OCC=C(C)CCC=C(C)C
1.551908449,CCOC(N)=O
3.99181065,C[N+](C)(C)CCOC(N)=O
2.619701543,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12
3.697192622,S=P(N1CC1)(N1CC1)N1CC1
2.449131133,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
3.546664904,C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1
3.079928438,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1
2.869640173,O=[N+]([O-])C(Br)(CO)CO
2.621166194,NC1(C(=O)O)CCCC1
1.962813203,CC(C)(S)C(N)C(=O)O
2.933549711,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
4.534624536,COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1
3.723780471,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
2.556862098,CC12CCC(=O)CC1CCC1C2CCC2(C)C(C(=O)COC(=O)CCC(=O)O)CCC12
1.903152412,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1
3.490774912,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C
2.223428488,CC12COC(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O
1.460041936,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O
2.939443376,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21
4.397299821,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
2.266749466,CN1CCC(n2[nH]c(-c3ccccc3)c(Cc3ccccc3)c2=O)CC1
2.440355079,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2
2.939040294,COc1cc(C(=O)OCCCN(C)CCN(C)CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC
2.624983274,CCN(CC)CCNC(C(=O)OCCC(C)C)c1ccccc1
2.218468544,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
1.549125927,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I
1.726430334,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
3.623969109,CC[Hg]Sc1ccccc1C(=O)O
3.130319471,CCC1C(=O)OCC1Cc1cncn1C
2.782438199,CC(C)NCC(O)c1ccc2ccccc2c1
2.850865675,CN(C)CCCSc1ccccc1NC(=O)C=Cc1ccccc1
3.013318838,NNC(=O)c1ccncc1
1.519753919,O=C(O)c1cccnc1
2.820564497,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1
2.969457385,O=C(CCBr)N1CCN(C(=O)CCBr)CC1
3.195943658,C1CCc2nnnn2CC1
2.708153102,CCN(CC)N=O
2.018825995,NC(=O)c1ccccc1
1.595724875,O=C(O)c1ccncc1
3.499591913,COP(=S)(OC)Oc1ccc(SC)c(C)c1
3.093956842,CC(Cc1ccccc1)NN
2.303147085,N=C(N=C(N)Nc1ccc(Cl)cc1)NCCCCCCNC(=N)N=C(N)Nc1ccc(Cl)cc1
2.16930943,N=C(N=C(N)N)Nc1ccccc1
3.295490608,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
2.33392502,N=C(N)NCCN1CCCCCCC1
1.131009357,Cc1cccc(N=Nc2ccc(N(C)C)cc2)c1
