mouse_subcutaneous_LD50_(?log(mol/kg)),canonical_smiles
3.953226952,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C
4.660855086,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12
2.760626563,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O
3.280636204,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
2.860297271,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
2.012776986,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
2.104971666,O=C(O)c1c(Cl)cccc1Cl
2.176974391,O=C(O)c1c(Cl)ccc(Cl)c1Cl
3.111291347,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
3.459223987,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C
1.713041736,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
2.613599447,CC(O)Cn1c(=O)c2c(ncn2C)n(C)c1=O
2.792653203,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1
2.273884404,O=C(O)c1c(Cl)cc(Cl)cc1Cl
3.182363287,S=c1nc[nH]c2nc[nH]c12
2.326820416,O=C(O)c1cccc(Cl)c1Cl
5.035431879,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC
3.292155616,CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC1=O
1.730597755,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12
3.26642646,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
2.383389364,NCCc1c[nH]c2ccc(O)cc12
0.880270385,OCC(O)C(O)C(O)C(O)CO
2.875944395,O=C(O)c1cc(Cl)cc(Cl)c1Cl
6.401912431,Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1OC1C(C)C(=O)C(N)C(C(=O)NC3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)C1N2
2.247055791,CC(=O)Oc1ccccc1C(=O)O
2.20188168,O=C(O)c1cc(Cl)ccc1Cl
2.875944395,O=C(O)c1cc(Cl)c(Cl)cc1Cl
2.20188168,O=C(O)c1ccc(Cl)cc1Cl
2.980755188,CCN(CC)CCOC(=O)c1ccc(N)cc1
2.491467899,CCN(CC)CCNC(=O)c1ccc(N)cc1
5.038060635,C1CN1c1nc(N2CC2)nc(N2CC2)n1
2.886317146,O=c1[nH]cc(F)c(=O)[nH]1
3.533871302,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
2.945306615,CC(C)NCC(O)c1ccc(O)c(O)c1
2.883122917,O=C(O)c1cc(Cl)cc(Cl)c1
2.955125641,O=C(O)c1cc(Cl)c(Cl)c(Cl)c1
2.679002934,O=C(O)c1ccc(Cl)c(Cl)c1
1.647961644,NCCc1cnc[nH]1
2.830017239,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
2.049754201,NCCc1ccc(O)c(O)c1
3.042535808,NNCCc1ccccc1
3.257261532,C(#CCN1CCCC1)CN1CCCC1
4.778307123,CN(CCCl)CCCl
1.472428127,CC(C)=CCCC(C)=CCCC(C)=CCCC(=O)OCC=C(C)CCC=C(C)C
1.706810409,CCOC(N)=O
4.72674912,C[N+](C)(C)CCOC(N)=O
3.02773092,CCCCCCCCCCCC(=O)OC12C=CC(=O)C3Oc4c(OC)ccc5c4C31CCN(C)C2C5
2.060683813,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C
4.059492275,S=P(N1CC1)(N1CC1)N1CC1
4.19011758,C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1
3.296456994,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1
3.236545948,O=[N+]([O-])C(Br)(CO)CO
2.537093406,NC1(C(=O)O)CCCC1
1.592887508,CC(C)(S)C(N)C(=O)O
2.984159704,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
3.962254963,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
1.743386064,NC(CS)C(=O)O
3.550087825,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO
3.144681651,CC12CCC(=O)CC1CCC1C2CCC2(C)C(C(=O)COC(=O)CCC(=O)O)CCC12
3.717258355,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C
3.643141435,CC(CN1CCC(O)(c2ccccc2)CC1)N(C(=O)c1ccco1)c1ccccc1
2.499055672,CC(=O)OCC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3C(O)CC21C
1.444961272,CC12COC(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O
2.505799426,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O
2.218108616,CN(C)CC(c1ccccc1)N(Cc1ccccc1)c1ccccc1
4.271258015,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
2.752032199,CN1CCC(n2[nH]c(-c3ccccc3)c(Cc3ccccc3)c2=O)CC1
3.256950825,COc1cc(C(=O)OCCCN(C)CCN(C)CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC
2.547965065,CCN(CC)CCNC(C(=O)OCCC(C)C)c1ccccc1
2.62954973,CC(C)(C(=O)c1cccnc1)c1cccnc1
2.453429062,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
3.763466566,CC[Hg]Sc1ccccc1C(=O)O
2.218108616,CN(C)C(CN(Cc1ccccc1)c1ccccc1)c1ccccc1
3.18881101,CCC1C(=O)OCC1Cc1cncn1C
2.268873205,C[N+]1(C)CCN(c2ccccc2)CC1
3.040260466,NNC(=O)c1ccncc1
1.546228815,O=C(O)c1cccnc1
3.003746043,O=C(CCBr)N1CCN(C(=O)CCBr)CC1
3.29532829,C1CCc2nnnn2CC1
3.49388407,Nc1ccncc1N
3.286205329,COP(=S)(OC)Oc1ccc(SC)c(C)c1
2.662030723,ClCCN(Cc1ccccc1)Cc1ccccc1
3.199018607,CC(Cc1ccccc1)NN
3.314795763,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
2.947105356,N=C(N)NCCN1CCCCCCC1
2.4587085,CC(CNc1ccccc1)N(C)C
2.709961567,CCC(CNc1ccccc1)N(C)C
4.788043393,CC(C)OP(=O)(F)OC(C)C
3.592134442,CS(=O)(=O)OCCCCOS(C)(=O)=O
2.671902249,N=C(N)SCCN
1.049087486,NCCCC(=O)O
2.85225191,NCCSSCCN
0.695659583,ClC(Cl)(Cl)Cl
4.464288301,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1
1.171298543,NCC(=O)O
2.721696253,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O
2.907319977,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
3.005189944,OCC(O)CO
4.356526902,CN(CCCCCCCCCCN(C)C(=O)Oc1cccc([N+](C)(C)C)c1)C(=O)Oc1cccc([N+](C)(C)C)c1
3.537796345,ON=Cc1cc[n+](CCC[n+]2ccc(C=NO)cc2)cc1
3.093237772,C=CCN=C=S
