rat_intraperitoneal_LD50_(?log(mol/kg)),canonical_smiles
5.223147951,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12
2.827137816,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O
3.51707454,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
3.383176016,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
2.255815034,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
4.590563821,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
2.35306565,O=C(O)c1c(Cl)ccc(Cl)c1Cl
3.336799268,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
4.168493948,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C
1.63386049,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
3.095413464,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1
2.980966163,S=c1nc[nH]c2nc[nH]c12
3.570321447,CN(C)CCCN1c2ccccc2CCc2ccccc21
3.539061619,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
4.140942063,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC
2.118559914,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12
3.496386916,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
3.116771072,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
2.894823806,O=C1NC(=O)C(=O)C(=O)N1
7.100882435,Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1OC1C(C)C(=O)C(N)C(C(=O)NC3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)C1N2
2.409232503,CC(=O)Oc1ccccc1C(=O)O
2.118345756,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Cl
2.187157482,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F
3.063944624,CCN(CC)CCOC(=O)c1ccc(N)cc1
2.593906627,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1
2.486932561,c1ccc2[nH]cnc2c1
5.310134423,C1CN1c1nc(N2CC2)nc(N2CC2)n1
2.050548064,O=c1[nH]cc(Br)c(=O)[nH]1
3.269105811,O=c1[nH]cc(F)c(=O)[nH]1
3.964040306,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
2.933380823,CC(C)NCC(O)c1ccc(O)c(O)c1
1.825403844,NCCc1cnc[nH]1
3.014302977,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
2.597159478,NCCc1ccc(O)c(O)c1
2.736230722,NNCCc1ccccc1
5.097720148,CN(CCCl)CCCl
1.773757199,CCOC(N)=O
2.889486832,CN(C)CSC(=S)N(C)C
4.866871914,C[N+](C)(C)CCOC(N)=O
3.177221774,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12
4.373886232,S=P(N1CC1)(N1CC1)N1CC1
2.911012422,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
3.235730815,C=CCC1(CC=C)C(=O)NC(=O)NC1=O
3.189215252,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1
3.886030589,O=[N+]([O-])C(Br)(CO)CO
2.369613954,CC(C)(S)C(N)C(=O)O
3.206550983,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
4.143675055,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
1.959892093,NC(CS)C(=O)O
3.357289744,CC12CCC(=O)CC1CCC1C2CCC2(C)C(C(=O)COC(=O)CCC(=O)O)CCC12
3.621191892,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C
1.796778741,CC12COC(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O
4.439688487,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
3.662892166,CC(=O)N(O)c1ccc2c(c1)Cc1ccccc1-2
3.077186154,CN1CC(O)C2=CC(=O)C(=O)C=C21
1.957164027,NC(Cc1c[nH]c2ccccc12)C(=O)O
1.416376671,O=c1cnn(C2OC(CO)C(O)C2O)c(=O)[nH]1
1.961728822,CCN(CC)CCNC(C(=O)OCCC(C)C)c1ccccc1
2.616408553,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
1.947065935,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I
3.054805886,CCC1C(=O)OCC1Cc1cncn1C
2.612125672,NNC(=O)c1ccncc1
2.226973999,O=C(O)c1cccnc1
3.327648975,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1
3.405392712,O=C(CCBr)N1CCN(C(=O)CCBr)CC1
3.348034641,C1CCc2nnnn2CC1
4.589319473,NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
2.674729346,CCN(CC)N=O
2.19063295,NC(=O)c1ccccc1
3.029594473,COP(=S)(OC)Oc1ccc(SC)c(C)c1
3.574682221,CC(Cc1ccccc1)NN
3.925533824,N=C(N=C(N)Nc1ccc(Cl)cc1)NCCCCCCNC(=N)N=C(N)Nc1ccc(Cl)cc1
3.347588276,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
5.157954678,CC(C)OP(=O)(F)OC(C)C
4.136202486,CS(=O)(=O)OCCCCOS(C)(=O)=O
2.189059846,Cc1cc(=O)[nH]c(=S)[nH]1
2.590612826,N=C(N)SCCN
1.280953356,NCCCC(=O)O
3.170156197,NCCSSCCN
5.076361503,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC
5.163258305,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1
3.897232393,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1
3.383831142,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O
4.684571299,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1
2.251461518,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
1.318809067,OCC(O)CO
1.653588739,O=CC(O)CO
3.29452748,ON=Cc1cc[n+](CCC[n+]2ccc(C=NO)cc2)cc1
1.079586399,NC(N)=O
3.254317016,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
3.51511051,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1
3.058659897,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
5.13885824,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C
4.949866587,CC[Sn](CC)(CC)OS(=O)(=O)O[Sn](CC)(CC)CC
2.726176365,CCCC(C)(COC(N)=O)COC(N)=O
1.057881892,CC(O)CO
3.155186427,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12
2.798871944,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C
2.983030087,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
2.770027057,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
6.318548996,COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C
2.908024566,Cn1c(=O)c2c(ncn2C)n(C)c1=O
3.550607431,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
3.085420154,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
2.459475777,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O
3.360929007,CC1=CC(=O)c2ccccc2C1=O
3.714712694,CNCCCN1c2ccccc2CCc2ccccc21
2.602607684,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
2.97075703,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
3.848176223,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
2.052257762,Cc1ncc(CO)c(CO)c1O
1.966107733,O=c1nc[nH]c2c1ncn2C1OC(CO)C(O)C1O
1.856575938,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1
3.739987205,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
3.251344287,Oc1c(Cl)cc(Cl)c(Cl)c1Cl
3.10462862,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
2.329130684,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O
2.342515165,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O
4.87933199,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
2.311188557,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br
2.816424086,CCN(CC)C(=O)c1cccnc1
3.445080028,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1
2.808807223,Cc1ccccc1OCC(O)CO
3.073037186,OCC(S)CS
3.065238055,Cc1cc(C(=O)NNCc2ccccc2)no1
2.614657919,O=NN1CCOCC1
3.204716727,c1ccc(CC2=NCCN2)cc1
2.991023717,CN(C)c1ccc(N=Nc2ccccc2)cc1
2.521859204,NCCS
3.125316549,C[N+](C)(C)CCCCCC[N+](C)(C)C
2.767037068,CC(=O)OCC[N+](C)(C)C
1.272753033,NCCCCCC(=O)O
0.748888537,CCCCCC=CCC=CCCCCCCCC(=O)O
0.758515042,CC(N)=O
2.96041881,CCC1C(=O)NC(=O)C1(C)c1ccccc1
3.360333971,CNC(=O)CSP(=S)(OC)OC
3.150918732,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12
4.03675775,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
3.223523426,CC(CN1c2ccccc2Sc2ccccc21)N(C)C
3.190984051,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
3.367708592,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2
3.519833518,COc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2
4.193467394,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1
2.245461818,NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1
2.954416653,Cc1cccc(Nc2ccccc2C(=O)O)c1C
3.198669303,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1
3.218213606,Nc1nc2cc(Cl)ccc2o1
1.348428588,CC(C)CC(N)C(=O)O
2.140243057,O=C(O)c1ccc([N+](=O)[O-])cc1
2.451294792,CCOc1ccc(NC(C)=O)cc1
2.549917157,CCOS(C)(=O)=O
2.242035111,NC(N)=S
3.336209185,CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1
4.168253849,COP(=O)(OC)OC=C(Cl)Cl
4.604526661,O=C(O)CF
3.446472687,CN(C)N=O
2.834614091,CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2OC(=O)CCc1ccccc1
3.497501962,CNC(=O)Oc1cccc2ccccc12
1.534403093,O=CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO
1.496708844,CSCCC(N)C(=O)O
1.48588201,NC(Cc1ccccc1)C(=O)O
2.563831135,Cc1cccc(NC(N)=O)c1
4.133822169,CNC(=O)Oc1cccc(C(C)C)c1
3.293940653,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
2.753227961,CCC(C)C(C)(COC(N)=O)COC(N)=O
3.821480775,CC1CCCC2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1
3.645389516,O=C(CCCN1CCC2(CCCCCC2)CC1)c1ccc(F)cc1
3.794204466,CC(C)(C)C1CCC2(CC1)CCN(CCCC(=O)c1ccc(F)cc1)CC2
3.645389516,CC1CCC2(CC1)CCN(CCCC(=O)c1ccc(F)cc1)CC2
3.723521345,O=C(CCCN1CCC2(CCCCC2)CC1)c1ccc(F)cc1
3.802702591,CC1CCC2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1
3.683338272,O=C(CCCN1CCC2(CCCC2)C1)c1ccc(F)cc1
3.783075631,O=C(CCCN1CCC2(CCCC2)CC1)c1ccc(F)cc1
3.81067208,CCC1(C)CC(=O)NC(=O)C1
3.394330248,O=C(O)CI
2.497434348,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
3.581946409,CCC(c1ccc(O)cc1)C(C#N)c1ccc(O)cc1
2.490748995,Cc1ncc(CO)c(C=O)c1O
4.342786709,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC
2.359006561,NC(=O)c1ccccc1O
1.490474936,Nc1ccc(C(=O)O)c(O)c1
2.921469708,CC(CNN)c1ccccc1
2.985016561,COS(C)(=O)=O
5.482898259,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46
3.067733605,CC[N+](CC)(CC)CC
2.9863167,O=[N+]([O-])c1cccc(O)c1[N+](=O)[O-]
5.304664555,O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1
4.881048283,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1
2.741693655,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
2.826139949,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O
2.390118919,C[N+](C)(C)CCO
1.341888236,CC(C)O
2.12558678,ClC(Cl)Cl
0.979037322,CS(C)=O
4.032363535,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1
1.717759635,CN(C)C=O
3.298060807,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
5.665121127,O=C1C=C(N2CC2)C(=O)C(N2CC2)=C1N1CC1
2.10057005,Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C
3.641008829,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
5.425301034,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O
1.782115699,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O
2.675313389,O=C(O)c1ccccc1O
1.673229932,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1
1.048681666,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
2.267486214,CN1CC(O)c2cc(N=NC(N)=O)c(O)cc21
4.671023394,O=C1CCCN1CC#CCN1CCCC1
1.385602184,CCS(=O)CC
4.26707248,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
2.398302803,NC(=O)c1cncc(F)c1
3.433385757,CCC(=O)c1ccc(N)cc1
1.417154855,NC(Cc1cnc[nH]1)C(=O)O
1.44358831,CCCO
1.819960131,CCCCO
2.182543753,CCCCCO
4.851336192,c1ccccc1
1.56971489,CC(Cl)(Cl)Cl
2.632942944,CC(=O)OC1(C(C)=O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C
5.284462962,COc1ccc(C(=O)OC2CCC3(C)C4CCC5C6(O)CC(O)C7(O)C(CN8CC(C)CCC8C7(C)O)C6(O)CC53OC24O)cc1OC
1.653588739,CC(O)C(=O)O
1.310524907,CC(C)C(N)C(=O)O
1.381159114,CC(O)C(N)C(=O)O
2.014852223,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C
2.849371714,CC12C=CC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O
2.256620019,CCOC(=O)C=C1SC(N2CCCCC2)C(=O)N1C
2.834086587,Nc1ncnc2nc[nH]c12
2.312554822,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
1.252720989,CCC(C)C(N)C(=O)O
6.964360215,C[N+](C)(CCO)C(=O)Cc1ccc(-c2ccc(CC(=O)[N+](C)(C)CCO)cc2)cc1
3.26474625,CCN(CC)CC(=O)Nc1c(C)cccc1C
2.194703004,O=C(O)c1ccc(Cl)cc1
2.23111688,CCC(CO)NCCNC(CC)CO
2.275496654,O=S(=O)(O)CC(S)CS
2.785658175,BrC(Br)Br
2.587935349,CC1CO1
3.674626031,C[N+](C)(C)C
3.221718807,ClC(Cl)(Cl)Br
2.184311191,CC(C)(C)S
3.472821434,C[Pb](C)(C)C
2.677950047,OCC(F)(F)F
3.015311568,CC(C)(C)OO
4.140718656,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl
3.639295574,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
3.722391034,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
2.996121858,CCC1(C(C)C)C(=O)NC(=O)NC1=O
3.333387322,C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1
3.393281962,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O
2.744498184,CCC(Br)(CC)C(=O)NC(N)=O
2.82022117,C1=CC2C3C=CC(C3)C2C1
2.261893894,C#CC(C)(O)CC
4.595338201,C=CS(=O)(=O)C=C
1.567309477,O=S1(=O)CC=CC1
5.519664624,CCOP(=O)(C#N)N(C)C
1.839297316,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC
4.333713211,CC[Pb](CC)(CC)CC
2.528504143,CCC(C)(CC)OC(N)=O
2.168343066,Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C
4.182367092,CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC
