rat_intravenous_LD50_(?log(mol/kg)),canonical_smiles
5.047056692,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12
3.978638958,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
3.477663784,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
3.471394798,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
4.964373965,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C
4.305673746,CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1
4.158648539,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1
2.784423279,S=c1nc[nH]c2nc[nH]c12
4.335923514,CN(C)CCCN1c2ccccc2CCc2ccccc21
4.123783825,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
4.472770095,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC
5.646137334,CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC1=O
2.592269569,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12
3.574199548,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1
3.726835837,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
3.768931478,NCCc1c[nH]c2ccc(O)cc12
2.675381126,O=C1NC(=O)C(=O)C(=O)N1
6.438124603,Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1OC1C(C)C(=O)C(N)C(C(=O)NC3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)C1N2
1.643758549,O=C1OC(C(O)CO)C(O)=C1O
3.771974846,CCN(CC)CCOC(=O)c1ccc(N)cc1
3.320535835,CCN(CC)CCNC(=O)c1ccc(N)cc1
5.264811444,C1CN1c1nc(N2CC2)nc(N2CC2)n1
2.725037766,O=c1[nH]cc(F)c(=O)[nH]1
3.407737805,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
4.033376811,CC(C)NCC(O)c1ccc(O)c(O)c1
2.246561103,NCCc1cnc[nH]1
2.90372029,C1CN2CN3CCN(CN1C3)C2
3.598138148,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
2.968467382,N=C(N)NC(=O)Nc1ccc([N+](=O)[O-])cc1
4.503963663,NCCc1ccc(O)c(O)c1
5.151887786,CN(CCCl)CCCl
2.293131728,CC(C)=CCCC(C)=CCCC(C)=CCCC(=O)OCC=C(C)CCC=C(C)C
6.167901909,C[N+](C)(C)CCOC(N)=O
4.303848365,S=P(N1CC1)(N1CC1)N1CC1
4.002128609,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1
3.728132335,O=[N+]([O-])C(Br)(CO)CO
2.579645757,NC1(C(=O)O)CCCC1
1.872782488,CC(C)(S)C(N)C(=O)O
4.39894756,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
2.026457998,NC(CS)C(=O)O
3.357289744,CC12CCC(=O)CC1CCC1C2CCC2(C)C(C(=O)COC(=O)CCC(=O)O)CCC12
4.248492121,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C
4.850803172,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21
4.218243031,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
3.336787332,CN1CCC(n2[nH]c(-c3ccccc3)c(Cc3ccccc3)c2=O)CC1
4.149083538,COc1cc(C(=O)OCCCN(C)CCN(C)CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC
2.616408553,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
3.371664679,CCC1C(=O)OCC1Cc1cncn1C
3.707235101,CC(C)NCC(O)c1ccc2ccccc2c1
2.574877614,NNC(=O)c1ccncc1
3.487213816,C1CCc2nnnn2CC1
2.562025066,CCN(CC)N=O
3.533289536,CC(Cc1ccccc1)NN
4.38146578,N=C(N=C(N)Nc1ccc(Cl)cc1)NCCCCCCNC(=N)N=C(N)Nc1ccc(Cl)cc1
3.990700463,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
