rat_oral_LD50_(?log(mol/kg)),canonical_smiles
4.047056692,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12
2.373410419,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O
2.409547266,CCC1(c2ccccc2)NC(=O)N(C)C1=O
3.173308877,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
4.598417313,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C
2.537466398,CCC(O)(COC(N)=O)c1ccccc1
2.158945684,CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O
3.610085961,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
2.540152293,O=C(O)c1c(Cl)ccc(Cl)c1Cl
2.918988185,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
2.998232232,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C
2.739883518,S=c1nc[nH]c2nc[nH]c12
3.006681317,CN(C)CCCN1c2ccccc2CCc2ccccc21
3.346789574,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
3.16114545,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC
4.690941379,CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC1=O
2.221679168,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12
2.352350799,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1
2.848486094,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
2.116771072,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
1.09461618,OCC(O)C(O)C(O)C(O)CO
1.435664657,O=C1NC(=O)C(=O)C(=O)N1
5.243549939,Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1OC1C(C)C(=O)C(N)C(C(=O)NC3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)C1N2
2.954625967,CC(=O)Oc1ccccc1C(=O)O
1.219484432,O=C1OC(C(O)CO)C(O)=C1O
3.058839005,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F
0.844029025,O=CC(O)C(O)C(O)C(O)CO
1.740611703,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2
3.072461294,CCN(CC)CCOC(=O)c1ccc(N)cc1
2.137317215,CCN(CC)CCNC(=O)c1ccc(N)cc1
2.244271298,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1
2.173674211,CCOCCOCCOC(C)Oc1ccc2c(c1)OCO2
4.19619107,C1CN1c1nc(N2CC2)nc(N2CC2)n1
2.752476015,O=c1[nH]cc(F)c(=O)[nH]1
3.787949047,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
2.258883695,CC(C)NCC(O)c1ccc(O)c(O)c1
2.134143944,CCCc1cc(=O)[nH]c(=S)[nH]1
2.762491004,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
1.728990745,NCCc1ccc(O)c(O)c1
2.811951435,NNCCc1ccccc1
4.193280471,CN(CCCl)CCCl
1.648519386,CC(C)=CCCC(C)=CCCC(C)=CCCC(=O)OCC=C(C)CCC=C(C)C
1.692409891,CCOC(N)=O
3.565841918,C[N+](C)(C)CCOC(N)=O
2.619701543,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12
3.915248383,S=P(N1CC1)(N1CC1)N1CC1
3.596831513,C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1
2.267062259,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1
3.045731432,O=[N+]([O-])C(Br)(CO)CO
2.664534893,NC1(C(=O)O)CCCC1
2.931682927,CCOP(=S)(OCC)Oc1cc(C)c(SC)c(C)c1
1.997523469,CC(C)(S)C(N)C(=O)O
2.757458452,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
4.06519011,COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1
3.46782885,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
1.679392489,NC(CS)C(=O)O
2.790945305,CC12CCC(=O)CC1CCC1C2CCC2(C)C(C(=O)COC(=O)CCC(=O)O)CCC12
1.806242399,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1
1.619629604,CC(=O)OCC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3C(O)CC21C
1.486353957,CC12COC(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O
1.460041936,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O
2.664244959,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21
2.109543551,CN1CCC(n2[nH]c(-c3ccccc3)c(Cc3ccccc3)c2=O)CC1
2.366284488,COc1cc(C(=O)OCCCN(C)CCN(C)CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC
1.105997428,NC(Cc1c[nH]c2ccccc12)C(=O)O
2.329705607,CCN(CC)CCNC(C(=O)OCCC(C)C)c1ccccc1
2.104525192,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
2.637806527,CC(C)(C(=O)c1cccnc1)c1cccnc1
1.622096303,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
3.707949238,CC[Hg]Sc1ccccc1C(=O)O
2.595951122,CCC1C(=O)OCC1Cc1cncn1C
2.406205105,CC(C)NCC(O)c1ccc2ccccc2c1
2.356015653,CN(C)CCCSc1ccccc1NC(=O)C=Cc1ccccc1
2.040260466,NNC(=O)c1ccncc1
1.245198819,O=C(O)c1cccnc1
2.464822436,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1
3.209098067,O=C(CCBr)N1CCN(C(=O)CCBr)CC1
2.994298294,C1CCc2nnnn2CC1
2.666760417,CCN(CC)N=O
1.391326855,O=C(O)c1ccncc1
2.465920924,COP(=S)(OC)Oc1cc(C)c(SC)c(C)c1
3.189295316,COP(=S)(OC)Oc1ccc(SC)c(C)c1
2.034394471,ClCCN(Cc1ccccc1)Cc1ccccc1
3.645263296,CC(Cc1ccccc1)NN
3.334999149,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
2.276164075,N=C(N)NCCN1CCCCCCC1
2.202891365,Cc1cccc(N=Nc2ccc(N(C)C)cc2)c1
4.566194644,CC(C)OP(=O)(F)OC(C)C
1.976756414,Cc1cc(=O)[nH]c(=S)[nH]1
1.062763116,Nc1nc(=O)cc(O)[nH]1
