rat_subcutaneous_LD50_(?log(mol/kg)),canonical_smiles
5.012294585,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12
3.245232599,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
2.907020934,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
3.389527695,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
2.373513955,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
3.702974787,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34
3.08414849,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
3.092217692,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C
3.228120778,S=c1nc[nH]c2nc[nH]c12
3.08060137,CN(C)CCCN1c2ccccc2CCc2ccccc21
3.628556484,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
4.386454731,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC
4.690941379,CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC1=O
2.221679168,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12
3.009928118,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1
3.226233486,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
2.791207872,NCCc1c[nH]c2ccc(O)cc12
0.789189915,OCC(O)C(O)C(O)C(O)CO
2.875944395,O=C(O)c1ccc(Cl)c(Cl)c1Cl
6.197792448,Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1OC1C(C)C(=O)C(N)C(C(=O)NC3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)C1N2
1.24581854,O=C1OC(C(O)CO)C(O)=C1O
2.596428498,CCN(CC)CCOC(=O)c1ccc(N)cc1
2.070649145,CCN(CC)CCNC(=O)c1ccc(N)cc1
2.777744117,O=c1[nH]cc(F)c(=O)[nH]1
3.867130293,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
2.686330074,CC(C)NCC(O)c1ccc(O)c(O)c1
3.063521,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
2.37430062,NCCc1ccc(O)c(O)c1
4.981050988,CN(CCCl)CCCl
1.472428127,CC(C)=CCCC(C)=CCCC(C)=CCCC(=O)OCC=C(C)CCC=C(C)C
4.565841918,C[N+](C)(C)CCOC(N)=O
3.224540616,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C
4.384881616,S=P(N1CC1)(N1CC1)N1CC1
3.051191125,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
3.2771235,C=CCC1(CC=C)C(=O)NC(=O)NC1=O
4.265838294,C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1
3.070555016,O=[N+]([O-])C(Br)(CO)CO
1.56958643,CC(C)(S)C(N)C(=O)O
2.808610974,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
3.796887569,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
1.948606377,NC(CS)C(=O)O
3.213795389,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C
3.19638373,CC(=O)OCC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3C(O)CC21C
1.486353957,CC12COC(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O
2.460041936,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O
4.393437911,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
2.80434172,COc1cc(C(=O)OCCCN(C)CCN(C)CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC
1.856740708,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
2.463529388,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
3.591784425,CC[Hg]Sc1ccccc1C(=O)O
2.856003489,CCC1C(=O)OCC1Cc1cncn1C
2.619974581,NNC(=O)c1ccncc1
1.391326855,O=C(O)c1cccnc1
3.126446996,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1
3.408505948,O=C(CCBr)N1CCN(C(=O)CCBr)CC1
3.211007404,C1CCc2nnnn2CC1
4.191379465,NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
2.719148486,CCN(CC)N=O
3.523529699,CC(Cc1ccccc1)NN
2.703685075,N=C(N=C(N)Nc1ccc(Cl)cc1)NCCCCCCNC(=N)N=C(N)Nc1ccc(Cl)cc1
3.383060594,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
5.106802156,CC(C)OP(=O)(F)OC(C)C
4.049052311,CS(=O)(=O)OCCCCOS(C)(=O)=O
4.510045791,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1
1.159445716,NCC(=O)O
4.178744056,O=[N+]([O-])c1cc[n+]([O-])c2ccccc12
3.169686266,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O
1.810409964,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
2.964231336,OCC(O)CO
3.032539931,C=CCN=C=S
0.86474255,NC(N)=O
2.57322651,C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5
3.070402849,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
2.618800919,CCCC(C)(COC(N)=O)COC(N)=O
0.529173603,CC(O)CO
2.170862856,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C
2.143540946,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
1.838212919,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
6.293785129,COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C
3.057786886,Cn1c(=O)c2c(ncn2C)n(C)c1=O
2.914450263,CCN(CC)CCSC(=O)N(c1ccccc1)c1ccccc1
2.894351739,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
1.781695072,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O
3.163063568,CNCCCN1c2ccccc2CCc2ccccc21
2.485494285,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
3.170671119,CN(C)CCCN1c2ccccc2Sc2ccccc21
1.74173414,Cc1ncc(CO)c(CO)c1O
1.681476531,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1
3.158287938,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
2.370040756,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
